LONGITUDE,LATITUDE,Painted,SIGNNAME,BOROUGH,FountainCo,TYPE,DESCRIPTION,FEATURESTA
-73.98659181,40.60753207,no,Seth Low Playground/ Bealin Square,B,2,F,High Low Out in Open,Active
-73.96862766,40.74808719,no,Robert Moses Playground,M,1,C, In Playground,Active
-74.00036316,40.75003603,yes,Chelsea Park,M,1,D, Under Tree Near Ballfield Just Outside Playground,Active
-73.97290102,40.72386197,no,John V. Lindsay East River Park,M,1,D, Just Outside Playground Near Ballfield,Active
-73.94639259,40.69933444,,Charlie's Place,B,1,C, In Shade In Playground,Active
-73.92412002,40.70314863,yes,Maria Hernandez Park,B,1,E,Wheelchair Out in Open,Active
-73.83541216,40.70989105,no,Forest Park,Q,1,C,S Concrete Just Outside Playground,Active
-73.8218903,40.74900916,no,Kissena Corridor Park,Q,1,C, Out in Open,Active
-73.85043591,40.74628272,yes,Flushing Meadows Corona Park,Q,1,A, Under Tree,Active
-73.75035291,40.5941163,no,Beach 17 Playground,Q,1,D, Out in Open,Active
-74.19801006,40.53206049,no,Richmond Parkway,R,1,C, Just Outside Playground,Active
-74.01152114,40.63058253,no,Leif Ericson Park,B,1,C, In Playground,Active
-73.9214983,40.87145657,yes,Inwood Hill Park,M,1,A, Near Ballfield,Active
-73.97478961,40.71743507,no,John V. Lindsay East River Park,M,1,C, Under Tree Near Ballfield,Active
-73.98647089,40.66020126,,Butterfly Gardens,B,1,C, In Shade,Active
-73.89967168,40.66257799,no,Lion's Pride Playground,B,1,C, In Playground,Active
-73.95910815,40.7356118,no,Greenpoint Playground,B,1,A, In Playground Under Tree,Active
-73.9715264,40.66605941,no,Prospect Park,B,1,A, Out in Open,Active
-73.79419099,40.86247675,yes,Pelham Bay Park,X,1,A, Out in Open,Active
-73.95984132,40.71052793,no,La Guardia Playground,B,1,D, In Playground Under Tree,Active
-73.95895649,40.57526978,no,Coney Island Beach & Boardwalk,B,1,E, Out in Open,Active
-73.9803807,40.71120324,no,Corlears Hook Park,M,1,C, Under Tree Near Ballfield Just Outside Playground,Active
-73.7627501,40.59254717,no,Beach 30th Street Playground,Q,1,D, In Shade,Active
-73.87824711,40.8959329,yes,Van Cortlandt Park,X,1,A, Near Ballfield,Active
-73.91959307,40.78027032,no,Astoria Park,Q,1,A, Out in Open Under Tree In Shade,Active
-74.06301213,40.59243803,yes,Franklin D. Roosevelt Boardwalk and Beach,R,1,D, Just Outside Playground,Active
-74.01715712,40.62755186,no,McKinley Park,B,1,A, Out in Open,Active
-73.82374653,40.78279288,no,Harvey Park,Q,1,D, In Playground,Active
-73.86301306,40.67562011,no,Belmont Playground,B,1,C, In Playground,Active
-73.88755759,40.6706443,no,Sutter Ballfields,B,1,C, Out in Open Near Ballfield,Active
