Mission,Launch,Landing,Death,Month,Year
STS-1,12-Apr-81,14-Apr-81,No,Apr,1981
STS-2,12-Nov-81,14-Nov-81,No,Nov,1981
STS-3,22-Mar-82,30-Mar-82,No,Mar,1982
STS-4,27-Jun-82,4-Jul-82,No,Jun,1982
STS-5,11-Nov-82,16-Nov-82,No,Nov,1982
STS-6,4-Apr-83,9-Apr-83,No,Apr,1983
STS-7,18-Jun-83,24-Jun-83,No,Jun,1983
STS-8,30-Aug-83,5-Sep-83,No,Aug,1983
STS-9,28-Nov-83,8-Dec-83,No,Nov,1983
STS-41B,3-Feb-84,11-Feb-84,No,Feb,1984
STS-41C,6-Apr-84,13-Apr-84,No,Apr,1984
STS-41D,30-Aug-84,5-Sep-84,No,Aug,1984
STS-41G,5-Oct-84,13-Oct-84,No,Oct,1984
STS-51A,8-Nov-84,16-Nov-84,No,Nov,1984
STS-51C,24-Jan-85,27-Jan-85,No,Jan,1985
STS-51D,12-Apr-85,19-Apr-85,No,Apr,1985
STS-51B,29-Apr-85,6-May-85,No,Apr,1985
STS-51G,17-Jun-85,24-Jun-85,No,Jun,1985
STS-51F,29-Jul-85,6-Aug-85,No,Jul,1985
STS-51I,27-Aug-85,3-Sep-85,No,Aug,1985
STS-51J,3-Oct-85,7-Oct-85,No,Oct,1985
STS-61A,30-Oct-85,6-Nov-85,No,Oct,1985
STS-61B,26-Nov-85,3-Dec-85,No,Nov,1985
STS-61C,12-Jan-86,18-Jan-86,No,Jan,1986
STS-51L,28-Jan-86,,Yes,Jan,1986
STS-26,29-Sep-88,3-Oct-88,No,Sep,1988
STS-27,2-Dec-88,6-Dec-88,No,Dec,1988
STS-29,13-Mar-89,18-Mar-89,No,Mar,1989
STS-30,4-May-89,8-May-89,No,May,1989
STS-28,8-Aug-89,13-Aug-89,No,Aug,1989
STS-34,23-Oct-89,27-Oct-89,No,Oct,1989
STS-33,22-Nov-89,27-Nov-89,No,Nov,1989
STS-32,9-Jan-90,20-Jan-90,No,Jan,1990
STS-36,28-Feb-90,4-Mar-90,No,Feb,1990
STS-31,24-Apr-90,29-Apr-90,No,Apr,1990
STS-41,6-Oct-90,10-Oct-90,No,Oct,1990
STS-38,15-Nov-90,20-Nov-90,No,Nov,1990
STS-35,2-Dec-90,10-Dec-90,No,Dec,1990
STS-32,9-Jan-91,20-Jan-91,No,Jan,1991
STS-37,5-Apr-91,11-Apr-91,No,Apr,1991
STS-39,28-Apr-91,6-May-91,No,Apr,1991
STS-40,5-Jun-91,14-Jun-91,No,Jun,1991
STS-43,2-Aug-91,11-Aug-91,No,Aug,1991
STS-48,12-Sep-91,18-Sep-91,No,Sep,1991
STS-44,24-Nov-91,1-Dec-91,No,Nov,1991
STS-42,22-Jan-92,30-Jan-92,No,Jan,1992
STS-45,24-Mar-92,2-Apr-92,No,Mar,1992
STS-49,7-May-92,16-May-92,No,May,1992
STS-50,25-Jun-92,9-Jul-92,No,Jun,1992
STS-46,31-Jul-92,8-Aug-92,No,Jul,1992
STS-47,12-Sep-92,20-Sep-92,No,Sep,1992
STS-52,22-Oct-92,1-Nov-92,No,Oct,1992
STS-53,2-Dec-92,9-Dec-92,No,Dec,1992
STS-54,13-Jan-93,19-Jan-93,No,Jan,1993
STS-56,8-Apr-93,17-Apr-93,No,Apr,1993
STS-55,26-Apr-93,6-May-93,No,Apr,1993
STS-57,21-Jun-93,27-Jun-93,No,Jun,1993
STS-51,12-Sep-93,22-Sep-93,No,Sep,1993
STS-58,18-Oct-93,1-Nov-93,No,Oct,1993
STS-61,2-Dec-93,13-Dec-93,No,Dec,1993
STS-60,3-Feb-94,11-Feb-94,No,Feb,1994
STS-62,4-Mar-94,18-Mar-94,No,Mar,1994
STS-59,9-Apr-94,20-Apr-94,No,Apr,1994
STS-66,3-Nov-94,14-Nov-94,No,Nov,1994
STS-63,3-Feb-95,11-Feb-95,No,Feb,1995
STS-67,2-Mar-95,18-Mar-95,No,Mar,1995
STS-71,27-Jun-95,7-Jul-95,No,Jun,1995
STS-70,13-Jul-95,22-Jul-95,No,Jul,1995
STS-69,7-Sep-95,18-Sep-95,No,Sep,1995
STS-73,20-Oct-95,5-Nov-95,No,Oct,1995
STS-74,12-Nov-95,20-Nov-95,No,Nov,1995
STS-72,11-Jan-96,20-Jan-96,No,Jan,1996
STS-75,22-Feb-96,9-Mar-96,No,Feb,1996
STS-76,22-Mar-96,1-Apr-96,No,Mar,1996
STS-77,19-May-96,29-May-96,No,May,1996
STS-78,20-Jun-96,7-Jul-96,No,Jun,1996
STS-79,16-Sep-96,26-Sep-96,No,Sep,1996
STS-80,19-Nov-96,7-Dec-96,No,Nov,1996
STS-81,12-Jan-97,22-Jan-97,No,Jan,1997
STS-82,11-Feb-97,21-Feb-97,No,Feb,1997
STS-83,4-Apr-97,8-Apr-97,No,Apr,1997
STS-84,15-May-97,24-May-97,No,May,1997
STS-94,1-Jul-97,17-Jul-97,No,Jul,1997
STS-85,7-Aug-97,19-Aug-97,No,Aug,1997
STS-86,25-Sep-97,6-Oct-97,No,Sep,1997
STS-87,19-Nov-97,5-Dec-97,No,Nov,1997
